CT-CT/20140041";"2";"200.023265/2012-71";"Alteração de redação da Cláusula Segunda - DAS OBRIGAÇÕES E RESPONSABILIDADES DA CONTRATADA - com a inclusão do Parágrafo Décimo Oitavo e a da Cláusula Terceira - DAS OBRIGAÇÕES E RESPONSABILIDADES DA CONTRATANTE - com o acréscimo do Inciso XI.";"21/05/2015";"26/05/2015"
CT-CT/20140041";"1";"200.007037/2014-16";"Acresce em 10,093% ao valor global original anual do contrato, correspondente a R$ 2.553.127,44 - referente ao aumento quantitativo dos itens 1, 4, 7, 15, 26 e 42 do Grupo 1(SECOM) - passando de R$ 25.294.830,28 para R$ 27.847.957,72. Suprime em -7,730% ao valor global atualizado anual do contrato, correspondente a -R$ 1.955.328,24 - referente à redução quantitativa dos itens 5, 8, 9, 11, 16, 24, 25, 33, 34, 35, 36, 45, 47 e 49 do Grupo 1(SECOM) - passando de R$ 27.847.957,72 para R$ 25.892.629, 48, a vigorar a partir de 30 de junho de 2014. Alteração de redação do item 7 do Grupo 1 do Quadro de Atribuições e Qualificações das Categorias constante no Anexo 3 do Edital Licitatório.";"27/06/2014";"09/07/2014"
CT-CT/20140041";"3";"200.020894/2013-21";"Prorroga a vigência do contrato de 30 de junho de 2015 a 29 de junho de 2016.";"29/06/2015";"06/07/2015"
CT-CT/20140041";"4";"200.010095/2014-27";"Repactua em 5,55464% ao valor mensal atualizado do contrato, referente ao Item 1 - prestação de mão-de-obra - correspondente a R$ 117.086,41, passando de R$ 2.101.632,76 para R$ 2.218.719,17. Os valores estimados originais anuais do contrato para o Item 2 - fornecimento de materiais de maquiagem e equipamentos - de R$ 25.237,16 e para o Item 3 - diárias de viagem - de R$ 50.000,00 permanecem inalterados. Alteração de redação da Cláusula Primeira do Primeiro Termo Aditivo. Acresce em 1,40554%, correspondente a R$ 375.276,24, referente ao aumento quantitativo dos itens 58.1 e 58.2 e suprime em -1,16311%, correspondente a -R$ 310.548,48, referente à redução quantitativa do item 58, ambos do Grupo 1(SECOM), ao valor global atualizado anual do contrato. Em face das alterações autorizadas, o valor global atualizado anual do contrato passa de R$ 25.892.629,48 para R$ 27.389.485,96, sendo para o Item 1 = R$ 27.314.248,80 (R$ 2.276.187,40/mês); Item 2= R$ 25.237,16 e para o Item 3 = R$ 50.000,00, a vigorar a partir de 30 de junho de 2014.";"28/09/2015";"02/10/2015"
CT-CT/20140041";"5";"200.004830/2015-44";"Alteração de redação da Cláusula Quarta - DO REGIME DE EXECUÇÃO - com a inclusão do Parágrafo Vigésimo.";"12/02/2016";"Não se Aplica"
CT-CT/20140041";"6";"200.013472/2015-61";"Repactua em 6,98771% ao valor mensal atualizado do contrato, referente ao Item 1 - prestação de mão de obra - correspondente a R$ 159.491,51, passando de R$ 2.276.187,40 para R$ 2.435.678,91, a vigorar a partir de 01 de janeiro de 2015. Revisa em 9,31363% ao valor mensal atualizado do contrato, referente ao Item 1 - prestação de mão de obra - correspondente a R$ 25.780,89, passando de R$ 2.435.678,91 para R$ 2.461.459,80, a vigorar a partir de 30 de junho de 2015. Revisa em 9,31363% ao valor estimado original anual do contrato, referente ao Item 2 - fornecimento de materiais de maquiagem e equipamentos - correspondente a R$ 2.350,22, passando de R$ 25.237,16 para R$ 27.587,38, a vigorar a partir de 30 de junho de 2015. O valor para o Item 3 - diárias de viagem - de R$ 50.000,00 permanece inalterado. Em face das alterações autorizadas, o valor global atualizado anual do contrato passa de R$ 27.389.485,96 para R$ 29.615.104,98, sendo para o Item1 = R$ 29.537.517,60 (R$ 2.461.459,80/mês); Item 2 = R$ 27.587,38 e para o Item 3 = R$ 50.000,00, a vigorar a partir de 30 de junho de 2015.";"01/03/2016";"10/03/2016"
CT-CT/20140041";"7";"200.017135/2015-42";"Acresce em 1,06161% ao valor global atualizado anual do contrato, correspondente a R$ 314.397,72 - referente ao aumento quantitativo do item 59 do Grupo 1(SECOM) - passando de R$ 29.615.104,98 para R$ 29.929.502,70, a vigorar a partir de 01 de março de 2016. Em face da alteração autorizada, o valor mensal atualizado do contrato para o Item 1 - prestação de mão de obra - passa de R$ 2.461.459,80 para R$ 2.487.659,61. Os valores estimados atualizados anuais do contrato para os Itens 2 e 3 permanecem inalterados.";"01/03/2016";"10/03/2016"
CT-CT/20140041";"8";"200.018707/2015-19";"Prorroga a vigência do contrato de 30 de junho de 2016 a 29 de junho de 2017.";"29/06/2016";"11/07/2016"
CT-CT/20140041";"9";"200.018100/2015-21";"Revisa em 0,57800% e repactua em 8,76183% ao valor mensal atualizado do contrato, referente ao Item 1 - prestação de mão de obra - a vigorar a partir de 01 de dezembro de 2015 e de 01 de janeiro de 2016, respectivamente. Retificação da Cláusula Primeira do Sexto Termo Aditivo. Reajusta em 1,09452% ao valor mensal atualizado do contrato, referente ao Item 1 - prestação de mão de obra - e ao valor estimado atualizado do contrato, referente ao Item 2 - fornecimento de materiais de maquiagem e equipamentos, a vigorarem a partir de 30 de junho de 2016. Em face das alterações autorizadas, o valor global atualizado anual do contrato passa de R$ 29.929.502,70 para R$ 33.102.144,68, sendo para o Item 1 = R$ 33.021.938,04 (R$ 2.751.828,17/mês); Item 2 = R$ 30.206,64 e para o Item 3 = R$ 50.000,00, a vigorar a partir de 30 de junho de 2016.";"22/12/2016";"26/12/2016"
CT-CT/20140041";"9";"200.018100/2015-21";"Revisa em 0,57800% e repactua em 8,76183% ao valor mensal atualizado do contrato, referente ao Item 1 - prestação de mão de obra - a vigorar a partir de 01 de dezembro de 2015 e de 01 de janeiro de 2016, respectivamente. Retificação da Cláusula Primeira do Sexto Termo Aditivo. Reajusta em 1,09452% ao valor mensal atualizado do contrato, referente ao Item 1 - prestação de mão de obra - e ao valor estimado atualizado do contrato, referente ao Item 2 - fornecimento de materiais de maquiagem e equipamentos, a vigorarem a partir de 30 de junho de 2016. Em face das alterações autorizadas, o valor global atualizado anual do contrato passa de R$ 29.929.502,70 para R$ 33.102.144,68, sendo para o Item 1 = R$ 33.021.938,04 (R$ 2.751.828,17/mês); Item 2 = R$ 30.206,64 e para o Item 3 = R$ 50.000,00, a vigorar a partir de 30 de junho de 2016.";"22/12/2016";"26/12/2016"
